sku,title,photo_group,photo_order,photo_count,source_file,hosted_file
PKM-002,Sylveon Ex [Prize Pack] #86 - Pokemon Surging Sparks Card,1,1,4,1_IMG_5612.HEIC,i/002-01.jpg
PKM-002,Sylveon Ex [Prize Pack] #86 - Pokemon Surging Sparks Card,1,2,4,1_IMG_5613.HEIC,i/002-02.jpg
PKM-002,Sylveon Ex [Prize Pack] #86 - Pokemon Surging Sparks Card,1,3,4,1_IMG_5614.HEIC,i/002-03.jpg
PKM-002,Sylveon Ex [Prize Pack] #86 - Pokemon Surging Sparks Card,1,4,4,1_IMG_5616.HEIC,i/002-04.jpg
PKM-003,Pichu #31 - Pokemon Japanese SoulSilver Collection Card,2,1,4,2_IMG_5617.HEIC,i/003-01.jpg
PKM-003,Pichu #31 - Pokemon Japanese SoulSilver Collection Card,2,2,4,2_IMG_5618.HEIC,i/003-02.jpg
PKM-003,Pichu #31 - Pokemon Japanese SoulSilver Collection Card,2,3,4,2_IMG_5619.HEIC,i/003-03.jpg
PKM-003,Pichu #31 - Pokemon Japanese SoulSilver Collection Card,2,4,4,2_IMG_5620.HEIC,i/003-04.jpg
PKM-004,Piplup [Cosmos Holo] #93 - Pokemon Diamond & Pearl Card,3,1,5,3_IMG_5621.HEIC,i/004-01.jpg
PKM-004,Piplup [Cosmos Holo] #93 - Pokemon Diamond & Pearl Card,3,2,5,3_IMG_5622.HEIC,i/004-02.jpg
PKM-004,Piplup [Cosmos Holo] #93 - Pokemon Diamond & Pearl Card,3,3,5,3_IMG_5623.HEIC,i/004-03.jpg
PKM-004,Piplup [Cosmos Holo] #93 - Pokemon Diamond & Pearl Card,3,4,5,3_IMG_5624.HEIC,i/004-04.jpg
PKM-004,Piplup [Cosmos Holo] #93 - Pokemon Diamond & Pearl Card,3,5,5,3_IMG_5625.HEIC,i/004-05.jpg
PKM-005,Rotom ex #126 - Pokemon Phantasmal Flames Card,4,1,4,4_IMG_5626.HEIC,i/005-01.jpg
PKM-005,Rotom ex #126 - Pokemon Phantasmal Flames Card,4,2,4,4_IMG_5627.HEIC,i/005-02.jpg
